Date,äîâø,îÑè„çÇâcã∆óòâvó¶,âcã∆óòâvê¨í∑ó¶,îÑè„çÇê¨í∑ó¶,à◊ë÷ÉåÅ[Ég
2023/11/29,5504,10.8,5.7,5.47,148.14
2023/11/30,5526,10.79,5.77,5.5,146.87
2023/12/1,5533,10.79,5.84,5.53,147.09
2023/12/4,5480,10.78,5.9,5.55,147.86
2023/12/5,5501,10.77,5.97,5.58,146.39
2023/12/6,5557,10.76,6.04,5.61,147.15
2023/12/7,5538,10.76,6.11,5.64,147.23
2023/12/8,5273,10.75,6.17,5.67,147.16
2023/12/11,5309,10.74,6.24,5.7,143.14
2023/12/12,5311,10.73,6.31,5.73,145.39
2023/12/13,5284,10.73,6.38,5.76,145.83
2023/12/14,5132,10.72,6.44,5.79,145.67
2023/12/15,5083,10.71,6.51,5.82,142.53
2023/12/18,5062,10.7,6.58,5.85,142.45
2023/12/19,5257,10.7,6.65,5.88,142.16
2023/12/20,5466,10.69,6.71,5.9,142.71
2023/12/21,5420,10.68,6.78,5.93,144.04
2023/12/22,5399,10.67,6.85,5.96,143.51
2023/12/25,5368,10.67,6.92,5.99,142.34
2023/12/26,5388,10.66,6.98,6.02,142.2
2023/12/27,5436,10.65,7.05,6.05,142.21
2023/12/28,5452,10.64,7.12,6.08,142.73
2023/12/29,5440,10.64,7.19,6.11,141.88
2024/1/4,5496,10.63,7.25,6.14,141.82
2024/1/5,5516,10.62,7.32,6.17,143.44
2024/1/9,5571,10.61,7.39,6.2,144.97
2024/1/10,5690,10.61,7.46,6.23,143.95
2024/1/11,5824,10.6,7.52,6.25,145.63
2024/1/12,5808,10.59,7.59,6.28,145.32
2024/1/15,5800,10.58,7.66,6.31,145.15
2024/1/16,5843,10.58,7.73,6.34,145.92
2024/1/17,5801,10.57,7.79,6.37,147.44
2024/1/18,5860,10.56,7.86,6.4,148.23
2024/1/19,,10.61,7.95,6.43,147.15
2024/1/22,,10.67,8.04,6.46,147.15
2024/1/23,,10.72,8.13,6.49,147.15
2024/1/24,,10.77,8.21,6.52,147.15
2024/1/25,,10.82,8.3,6.55,147.15
2024/1/26,,10.88,8.39,6.58,147.15
2024/1/29,,10.93,8.48,6.6,147.15
2024/1/30,,10.98,8.57,6.63,147.15
2024/1/31,,11.04,8.66,6.66,147.15
2024/2/1,,11.09,8.74,6.69,147.15
2024/2/2,,11.14,8.83,6.72,147.15
2024/2/5,,11.2,8.92,6.75,147.15
2024/2/6,,11.25,9.01,6.78,147.15
2024/2/7,,11.3,9.1,6.81,147.15
2024/2/8,,11.35,9.19,6.84,147.15
2024/2/9,,11.41,9.27,6.87,147.15
2024/2/13,,11.46,9.36,6.9,147.15
2024/2/14,,11.51,9.45,6.93,147.15
2024/2/15,,11.57,9.54,6.95,147.15
2024/2/16,,11.62,9.63,6.98,147.15
2024/2/19,,11.67,9.72,7.01,147.15
2024/2/20,,11.72,9.8,7.04,147.15
2024/2/21,,11.78,9.89,7.07,147.15
2024/2/22,,11.83,9.98,7.1,147.15
2024/2/26,,11.88,10.07,7.13,147.15
2024/2/27,,11.94,10.16,7.16,147.15
2024/2/28,,11.99,10.25,7.19,147.15
2024/2/29,,12.04,10.33,7.22,147.15
2024/3/1,,12.09,10.42,7.25,147.15
