Date,äîâø,îÑè„çÇâcã∆óòâvó¶,âcã∆óòâvê¨í∑ó¶,îÑè„çÇê¨í∑ó¶,à◊ë÷ÉåÅ[Ég
2021/11/25,3334,12.66,9.79,7.54,115.35
2021/11/26,3382,12.66,9.73,7.54,114.93
2021/11/29,3375,12.66,9.68,7.54,113.71
2021/11/30,3306,12.67,9.62,7.53,113.8
2021/12/1,3254,12.67,9.57,7.53,113.26
2021/12/2,3256,12.67,9.51,7.53,112.96
2021/12/3,3323,12.67,9.46,7.53,113.14
2021/12/6,3339,12.67,9.4,7.53,113.09
2021/12/7,3369,12.67,9.34,7.53,113.51
2021/12/8,3345,12.67,9.29,7.53,113.57
2021/12/9,3337,12.68,9.23,7.52,113.83
2021/12/10,3300,12.68,9.18,7.52,113.49
2021/12/13,3297,12.68,9.12,7.52,113.56
2021/12/14,3350,12.68,9.07,7.52,113.68
2021/12/15,3410,12.68,9.01,7.52,113.8
2021/12/16,3447,12.68,8.96,7.52,114.17
2021/12/17,3385,12.69,8.9,7.51,113.88
2021/12/20,3354,12.69,8.84,7.51,113.64
2021/12/21,3415,12.69,8.79,7.51,113.68
2021/12/22,3342,12.69,8.73,7.51,114.2
2021/12/23,3375,12.69,8.68,7.51,114.23
2021/12/24,3351,12.69,8.62,7.51,114.41
2021/12/27,3353,12.7,8.57,7.5,114.4
2021/12/28,3424,12.7,8.51,7.5,114.97
2021/12/29,3409,12.7,8.46,7.5,114.89
2021/12/30,3393,12.7,8.4,7.5,115.02
2022/1/4,3462,12.66,8.37,7.5,115.02
2022/1/5,3474,12.63,8.35,7.49,115.43
2022/1/6,3423,12.59,8.32,7.49,116.23
2022/1/7,3449,12.55,8.3,7.49,116.05
2022/1/11,3412,12.51,8.27,7.48,116.01
2022/1/12,3380,12.48,8.25,7.48,115.34
2022/1/13,3350,12.44,8.22,7.48,115.34
2022/1/14,3261,12.4,8.2,7.47,114.68
2022/1/17,3253,12.36,8.17,7.47,114.1
2022/1/18,3212,12.33,8.15,7.47,114.35
2022/1/19,3090,12.29,8.12,7.46,114.57
2022/1/20,3142,12.25,8.09,7.46,114.72
2022/1/21,3151,12.22,8.07,7.46,114.32
2022/1/24,3137,12.18,8.04,7.45,113.85
2022/1/25,3085,12.14,8.02,7.45,113.84
2022/1/26,3084,12.1,7.99,7.45,114.02
2022/1/27,3018,12.07,7.97,7.44,113.84
2022/1/28,3095,12.03,7.94,7.44,114.68
2022/1/31,3098,11.99,7.92,7.44,115.47
2022/2/1,3094,11.95,7.89,7.43,115.44
2022/2/2,3165,11.92,7.87,7.43,115.17
2022/2/3,3183,11.88,7.84,7.43,114.71
2022/2/4,3181,11.84,7.82,7.42,114.47
2022/2/7,3143,11.81,7.79,7.42,115.01
2022/2/8,3131,11.77,7.76,7.42,115.28
2022/2/9,3076,11.73,7.74,7.41,115.3
2022/2/10,3159,11.69,7.71,7.41,115.56
2022/2/14,3122,11.66,7.69,7.41,115.63
2022/2/15,3166,11.62,7.66,7.4,115.43
2022/2/16,3209,11.58,7.64,7.4,115.43
2022/2/17,3205,11.54,7.61,7.39,115.7
2022/2/18,3221,11.51,7.59,7.39,115.48
2022/2/21,3225,11.47,7.56,7.39,114.96
2022/2/22,3110,11.43,7.54,7.38,115.08
2022/2/24,3099,11.39,7.51,7.38,114.78
2022/2/25,3161,11.36,7.48,7.38,114.96
2022/2/28,3240,11.32,7.46,7.37,115.58
2022/3/1,3232,11.28,7.43,7.37,115.59
2022/3/2,3253,11.25,7.41,7.37,115.28
2022/3/3,3290,11.21,7.38,7.36,115.02
2022/3/4,3309,11.17,7.36,7.36,115.63
2022/3/7,3362,11.13,7.33,7.36,115.42
2022/3/8,3186,11.1,7.31,7.35,115.02
2022/3/9,3181,11.06,7.28,7.35,115.49
2022/3/10,3339,11.02,7.26,7.35,115.89
2022/3/11,3248,10.98,7.23,7.34,116.01
2022/3/14,3246,10.95,7.21,7.34,116.32
2022/3/15,3342,10.91,7.18,7.34,117.59
2022/3/16,3339,10.87,7.15,7.33,118.25
2022/3/17,3327,10.84,7.13,7.33,118.39
2022/3/18,3377,10.8,7.1,7.33,118.99
2022/3/22,3386,10.76,7.08,7.32,118.7
2022/3/23,3454,10.72,7.05,7.32,120.02
2022/3/24,3449,10.69,7.03,7.32,121.16
2022/3/25,3471,10.65,7,7.31,121.11
2022/3/28,3437,10.61,6.98,7.31,122.04
2022/3/29,3471,10.57,6.95,7.31,122.2
2022/3/30,3476,10.54,6.93,7.3,124.25
2022/3/31,3398,10.5,6.9,7.3,122.56
2022/4/1,3424,10.53,6.85,7.45,122.41
2022/4/4,3432,10.57,6.81,7.6,122.21
2022/4/5,3374,10.6,6.76,7.75,122.44
2022/4/6,3355,10.64,6.72,7.9,122.58
2022/4/7,3441,10.67,6.67,8.05,123.9
2022/4/8,3444,10.71,6.62,8.2,123.66
2022/4/11,3443,10.74,6.58,8.34,123.9
2022/4/12,3387,10.78,6.53,8.49,124.63
2022/4/13,3401,10.81,6.49,8.64,125.48
2022/4/14,3442,10.84,6.44,8.79,125.63
